cascabelear	jingle	keep	https://es.wiktionary.org/wiki/cascabelear : literal sense jingle of bells (from cascabel); colloquial sense cajole	medium
catalanizar	catalanize	keep	https://es.wiktionary.org/wiki/catalanizar : conferir atributos catalanes / make Catalan	medium
censar	census	keep	https://es.wiktionary.org/wiki/censar : registrar algo en un censo / take a census	high
centuplicar	multiply hundredfold	replace	https://es.wiktionary.org/wiki/centuplicar : multiplicar por 100 / cien veces mayor	high
chalar	madden	keep	https://es.wiktionary.org/wiki/chalar : hacer perder el juicio / drive crazy	high
chamullar	jabber	replace	https://es.wiktionary.org/wiki/chamullar : hablar persuasiva pero falazmente / empty deceptive talk	medium
chancear	joke	keep	https://es.wiktionary.org/wiki/chancear : usar de chanzas / bromear	high
chancletear	shuffle	keep	https://es.wiktionary.org/wiki/chancletear : walk dragging chancletas / shuffle in slippers	medium
chapucear	botch	keep	https://es.wiktionary.org/wiki/chapucear : do shoddy careless work / bungle (cf chafallar)	high
chapurrear	speak badly	keep	https://es.wiktionary.org/wiki/chapurrear : hablar mal un idioma / speak a language poorly	high
chapuzar	dunk	keep	https://es.wiktionary.org/wiki/chapuzar : arrojar de cabeza en el agua / plunge in water	high
chaquetear	switch sides	replace	https://es.wiktionary.org/wiki/chaquetear : cambiar de bando / turn coat (from chaqueta)	medium
charlatanear	prattle	keep	https://es.wiktionary.org/wiki/charlatanear : hablar de asuntos superfluos vanos e insustanciales	high
charlotear	chatter	keep	https://es.wiktionary.org/wiki/charlotear : conversar sin sustancia / idle chat	high
charolar	varnish	keep	https://es.wiktionary.org/wiki/charolar : barnizar con charol / apply glossy finish	high
chascar	crack	keep	https://es.wiktionary.org/wiki/chascar : producir sonido crujiente abrupto / crack snap	high
