periclitar	decline	keep	https://es.wiktionary.org/wiki/periclitar: decline/decay sense attested alongside be-in-danger	medium
perlar	bead	keep	https://dle.rae.es/perlar: cover or sprinkle with droplets like pearls	high
pespuntear	backstitch	keep	https://dle.rae.es/pespunte: backstitch sewing	high
petar	please	keep	https://es.wiktionary.org/wiki/petar: give pleasure/please (coloq Spain)	high
petardear	backfire	keep	https://dle.rae.es/petardear: engine producing firecracker-like sounds = backfire	high
piafar	paw	keep	https://dle.rae.es/piafar: horse striking ground with front hooves	high
pimplar	booze	keep	https://dle.rae.es/pimplar: drink alcohol esp to excess (coloq)	high
pirrar	love	keep	https://www.rae.es/pimplar: pirrarse = be crazy about/love something	medium
plantificar	plonk down	replace	https://dle.rae.es/plantificar: put something esp inappropriate somewhere	high
policromar	polychrome	keep	morphology poli-+chrome: color in many colors	high
positivar	develop	keep	https://dle.rae.es/positivar: obtain photographic positive = develop	high
postinear	show off	keep	https://dle.rae.es/postinear: darse postin presumir = show off	high
predatar	backdate	replace	https://www.um.es/neologismos predatar: assign an earlier date = backdate	high
presintonizar	preset	keep	https://es.wikipedia.org/wiki/Sintonizador: presintonizar radio stations = preset	high
prevaricar	abuse one's office	replace	https://dpej.rae.es/lema/prevaricacion: official knowingly issues unjust ruling; prevaricate is false friend	high
prosificar	turn into prose	replace	https://dle.rae.es/prosificar: put a poetic work into prose	high
