quebrantar	break	keep	https://es.wiktionary.org/wiki/quebrantar : primary "romper una cosa con fuerza" = break forcefully	high
racanear	skimp	keep	https://www.wordreference.com/es/en/translation.asp?spen=racanear : be stingy / skimp	high
radiotelegrafiar	radiotelegraph	keep	https://dle.rae.es/radiotelegrafiar : transmitir algo por radiotelegrafia	high
ramonear	browse	keep	https://es.wiktionary.org/wiki/ramonear : animals eat leaves/branch ends = browse	high
rarificar	rarefy	keep	https://es.wiktionary.org/wiki/rarificar : transitive verb, rarefy (make less dense)	medium
rastrojar	clear stubble	keep	https://dle.rae.es/rastrojar : arrancar el rastrojo = remove stubble	high
rebañar	scrape clean	keep	https://es.wiktionary.org/wiki/rebañar : scrape/clean contents from surface	high
rebordear	edge	keep	https://dle.rae.es/rebordear : hacer o formar un reborde = form an edge/rim	high
recalar	make landfall	keep	https://es.wiktionary.org/wiki/recalar : nautical arrive at sight of land = make landfall	high
recalificar	rezone	replace	https://www.wordreference.com/es/en/translation.asp?spen=recalificar : urbanismo cambiar clasificacion = reclassify/rezone land	medium
recamar	embroider	keep	https://es.wiktionary.org/wiki/recamar : related to bordar = embroider	high
recatar	conceal	keep	https://es.wiktionary.org/wiki/recatar : encubrir esconder ocultar = conceal	high
recauchutar	retread	keep	https://es.wiktionary.org/wiki/recauchutar : add rubber layer to tires = retread	high
recidivar	relapse	keep	https://es.wiktionary.org/wiki/recidivar : disease recurs after recovery = relapse	high
recochinear	gloat	keep	https://dle.rae.es/recochinearse : burlarse con malicia / regodearse = gloat	medium
recomer	fret	keep	https://es.wiktionary.org/wiki/recomer : inner gnawing worry that consumes = fret	high
