garrapatear	scribble	keep	https://dle.rae.es/garrapatear : hacer garrapatos / garabatear (make scribbles)	high
garrapiñar	candy	keep	https://www.rae.es/diccionario-estudiante/garrapi%C3%B1ar : bañar una almendra u otro fruto seco en almibar que forma grumos	high
gibar	annoy	keep	https://dle.rae.es/gibar : fastidiar molestar (primary colloquial sense; corcovar=hunch is secondary)	high
gitanear	wheedle	keep	https://dle.rae.es/gitanear : halagar con zalameria y gracia para conseguir lo que se desea	high
golfear	loaf	keep	https://dle.rae.es/golfear : vivir como un golfo (holgazanear callejear)	high
golosear	nibble	keep	https://dle.rae.es/golosear : golosinear (andar comiendo golosinas)	medium
gorgoritear	trill	keep	https://dle.rae.es/gorgoritear : hacer gorgoritos quiebros de la voz (trinar)	high
granar	seed	keep	https://www.rae.es/diccionario-estudiante/granar : producir y desarrollar grano una planta	high
grillar	sprout	keep	https://dle.rae.es/grillarse : entallecer el trigo tuberculo (sprout shoots)	high
grisear	gray	keep	https://dle.rae.es/grisear : ir tomando color gris	high
guarnicionar	garrison	keep	https://dle.rae.es/guarnicionar : poner guarnicion en una plaza fuerte	high
guarrear	grunt	replace	https://iedra.es/palabras/guarrear : dicho de un jabali gruñir (primary RAE sense; hacer guarrerias is secondary)	high
guerrillear	wage guerrilla war	keep	everyday : pelear en guerrilla	high
guipar	see	keep	https://dle.rae.es/guipar : ver percibir descubrir (jergal)	high
gulusmear	snoop	keep	https://dle.rae.es/gulusmear : curiosear husmear (valid sense; golosinear is sense 1)	high
hebraizar	hebraize	keep	https://dle.rae.es/hebraizar : dar caracter hebraico / usar giros de la lengua hebrea	high
