cloquear	cluck	keep	onomatopoeic cloc+-ear (hen sound); everyday	high
cloroformizar	chloroform	keep	cloroformo+-izar denominal; everyday	high
coadyuvar	assist	keep	co-+adyuvar (aid); everyday	high
cocear	kick	keep	coz (kick)+-ear; everyday	high
coheredar	co-inherit	keep	co-+heredar (inherit); everyday	high
colacionar	collate	keep	collation; everyday	high
colear	wag	keep	cola (tail)+-ear; everyday	high
colegiar	join professional body	replace	https://es.wiktionary.org/wiki/colegiar : enroll professional in their colegio/association	high
colindar	border	keep	con+lindar (border); everyday	high
columbrar	glimpse	keep	https://es.wiktionary.org/wiki/columbrar : discern from afar	high
comadrear	gossip	keep	comadre+-ear; everyday	high
comedir	restrain	keep	https://es.wiktionary.org/wiki/comedir : comedirse=moderate/restrain oneself	high
compendiar	summarize	keep	compendio+-ar; everyday	high
compenetrar	bond	keep	compenetrarse: identify deeply with/bond; everyday	medium
competer	concern	keep	https://es.wiktionary.org/wiki/competer : pertain/be incumbent upon	high
compulsar	collate	keep	https://es.wiktionary.org/wiki/compulsar : compare document with copy to verify	high
