desapasionar	remove passion	replace	https://es.wiktionary.org/wiki/desapasionar : opposite of apasionar make dispassionate	medium
desarrendar	end lease	replace	https://es.wiktionary.org/wiki/desarrendar : dejar una heredad que se tenia arrendada	medium
desarrimar	move away	keep	https://es.wiktionary.org/wiki/desarrimar : separar quitar lo que esta arrimado	high
desbarrancar	push off cliff	keep	https://es.wiktionary.org/wiki/desbarrancar : arrojar barranca abajo	high
descabalar	leave incomplete	keep	https://es.wiktionary.org/wiki/descabalar : quitar a algo parte de sus piezas (DRAE)	high
descabellar	kill bull	keep	https://es.wiktionary.org/wiki/descabellar : Tauromaquia matar al toro de una estocada	high
descacharrar	smash	keep	https://es.wiktionary.org/wiki/descacharrar : empeorar el estado de una cosa romper un cacharro	high
descambiar	exchange back	keep	https://es.wiktionary.org/wiki/descambiar : devolver lo que antes se habia intercambiado	high
descaperuzar	uncover	keep	https://dle.rae.es/descaperuzar : quitar de la cabeza la caperuza	high
descasar	annul marriage	keep	https://dle.rae.es/descasar : declarar por nulo el matrimonio	high
descerebrar	decerebrate	keep	https://es.wiktionary.org/wiki/descerebrar : extirparle el cerebro a un animal	high
descompasar	throw off	keep	https://dle.rae.es/descompasarse : perder el compas / descomedirse	medium
descuajar	uproot	keep	https://dle.rae.es/descuajar : arrancar de raiz plantas o malezas	high
descuajeringar	break apart	keep	https://es.wiktionary.org/wiki/descuajeringar : destruir algo o desarmarlo en sus partes	high
desembarrar	clean mud	keep	https://dle.rae.es/desembarrar : limpiar quitar el barro	high
desembrujar	disenchant	keep	https://es.wiktionary.org/wiki/desembrujar : quitarle a alguien un hechizo	high
