acerar	steel	keep	https://es.wiktionary.org/wiki/acerar : give iron the properties of steel	high
achabacanar	vulgarize	keep	everyday : a+chabacano (vulgar/tacky) make vulgar	medium
achantar	intimidate	keep	https://es.wiktionary.org/wiki/achantar : intimidate/silence by making someone feel inferior	high
achaparrar	stunt	keep	everyday : a+chaparro (short/squat) stunt growth	medium
acharolar	varnish	keep	everyday : a+charol (patent-leather varnish) give glossy finish	medium
achinar	slant	keep	https://es.wiktionary.org/wiki/achinar : give East-Asian/slanted facial features (chino-derived)	medium
achispar	make tipsy	replace	https://es.wiktionary.org/wiki/achispar : poner cerca del estado de ebriedad (achisparse get tipsy)	high
achuchar	squeeze	keep	everyday : squeeze/crush/shove	medium
acidular	acidulate	keep	everyday : acid+-ular make slightly acidic	medium
acodar	bend	keep	everyday : a+codo (elbow) bend at an angle	medium
acogotar	throttle	keep	https://es.wiktionary.org/wiki/acogotar : grab by the cogote (nape) to control/subdue	high
acompasar	pace	keep	everyday : a+compas (rhythm) keep in time	medium
acoquinar	intimidate	keep	everyday : intimidate/cow	medium
acorchar	go numb	replace	https://es.wiktionary.org/wiki/acorchar : acorcharse become numb/lose sensation (primary reflexive everyday)	medium
acrisolar	refine	keep	everyday : a+crisol (crucible) refine/purify	medium
acuartelar	quarter	keep	everyday : a+cuartel (barracks) quarter/billet troops	medium
