repescar	readmit	replace	https://es.wiktionary.org/wiki/repescar : re-accept someone previously rejected (resit/recovery)	medium
resinar	tap resin	keep	denominal from resina; extract resin from trees	medium
reverdecer	turn green again	replace	https://es.wiktionary.org/wiki/reverdecer : ponerse verde otra vez	high
sesear	pronounce s for c	replace	https://es.wiktionary.org/wiki/sesear : pronounce z/c as s (seseo, not lisp)	high
sobetear	paw	keep	https://dle.rae.es/sobetear : coloquial sobar/manosear	high
soflamar	scorch	keep	so- + flama; singe with flame	medium
subvenir	defray	keep	subvenir a los gastos; provide for/defray	high
sulfatar	sulfate	keep	denominal sulfato; spray with copper sulfate	medium
sumariar	summarize	keep	from sumario; everyday summarize	medium
superabundar	overabound	keep	super- + abundar; be over-abundant	high
sustantivar	nominalize	keep	turn a word into a noun	high
tabicar	wall up	keep	from tabique; partition/wall up	high
tablear	plank	keep	https://es.wiktionary.org/wiki/tablear : RAE sense 1 divide wood into boards	medium
taconear	tap heels	keep	denominal tacon; click/tap heels	high
tanguear	tango	keep	denominal tango; dance the tango	high
tapear	snack	keep	denominal tapas; eat tapas	high
