acerar	steel	keep	https://es.wiktionary.org/wiki/acerar : sense 1 give iron the properties of steel	high
achabacanar	vulgarize	keep	https://es.wiktionary.org/wiki/achabacanar : make vulgar/crude	high
achantar	intimidate	keep	https://es.wiktionary.org/wiki/achantar : intimidate/silence someone	high
achaparrar	grow stunted	replace	https://es.wiktionary.org/wiki/achaparrarse : become short and stocky (tree takes shrub shape)	high
acharolar	varnish	keep	https://es.wiktionary.org/wiki/acharolar : varnish with charol	high
achinar	slant	keep	https://es.wiktionary.org/wiki/achinar : give East Asian/Chinese (slanted) features	medium
achispar	make tipsy	replace	https://es.wiktionary.org/wiki/achispar : bring near drunken state; reflexive get tipsy	high
achuchar	squeeze	keep	https://es.wiktionary.org/wiki/achuchar : crush/squeeze; also affectionate squeeze	high
acidular	acidulate	keep	https://es.wiktionary.org/wiki/acidular : make slightly acidic	high
acodar	bend	keep	https://es.wiktionary.org/wiki/acodar : carpentry shape at right angles; agric layer	medium
acogotar	throttle	keep	https://es.wiktionary.org/wiki/acogotar : sense 4 compress throat to suffocate	medium
acompasar	pace	keep	https://es.wiktionary.org/wiki/acompasar : variant of compasar keep in time/measure	high
acoquinar	intimidate	keep	https://es.wiktionary.org/wiki/acoquinar : intimidate/discourage	high
acorchar	make corky	replace	https://es.wiktionary.org/wiki/acorchar : give cork texture; become porous and dry	medium
acrisolar	refine	keep	https://es.wiktionary.org/wiki/acrisolar : purify/refine metal in a crucible	high
acuartelar	quarter	keep	https://es.wiktionary.org/wiki/acuartelar : sense 1 place troops in barracks/quarters	high
