abajar	lower	keep	everyday	high
abalar	throw	replace	https://es.wiktionary.org/wiki/abalar : arrojar lanzar (throw hurl)	medium
abalizar	mark	keep	https://es.wiktionary.org/wiki/abalizar : mark with buoys nautical	high
aballar	drive	keep	https://es.wiktionary.org/wiki/aballar : llevar o conducir ganado (drive livestock)	high
abanar	fan	keep	everyday	high
abanderar	flag	replace	https://es.wiktionary.org/wiki/abanderar : registrar bajo bandera a un buque (register ship under flag)	high
abetunar	polish	keep	https://es.wiktionary.org/wiki/abetunar : cubrir con betun (coat with bitumen polish)	high
abigarrar	variegate	keep	https://es.wiktionary.org/wiki/abigarrar : poner varios colores mal combinados (multicolor variegate)	high
abocar	pour	keep	everyday	medium
abocinar	flare	keep	https://es.wiktionary.org/wiki/abocinar : dar forma de bocina ensanchar boca de tubo (flare a tube mouth)	high
abordar	board	replace	https://es.wiktionary.org/wiki/abordar : tocar una embarcacion con otra (board a vessel primary)	high
aborregar	fleece	replace	https://dle.rae.es/aborregarse : cielo cubrirse de nubes a modo de vellones (sky becoming fleecy)	high
abotargar	bloat	keep	https://es.wiktionary.org/wiki/abotargarse : variante de abotagarse hincharse (swell bloat)	high
abovedar	vault	keep	everyday	high
abrevar	water	keep	everyday	high
acendrar	purify	keep	https://es.wiktionary.org/wiki/acendrar : depurar purificar metales (purify metals)	high
