cascabelear	jingle	keep	https://es.wiktionary.org/wiki/cascabelear : denominal of cascabel (bell) literal jingle sense	medium
catalanizar	catalanize	keep	https://es.wiktionary.org/wiki/catalanizar : confer Catalan attributes	high
censar	take census	replace	https://es.wiktionary.org/wiki/censar : register in a census / call a census	high
centuplicar	multiply hundredfold	replace	https://es.wiktionary.org/wiki/centuplicar : make a thing a hundred times greater	high
chalar	madden	keep	https://es.wiktionary.org/wiki/chalar : enloquecer drive crazy	high
chamullar	mumble	keep	https://es.wiktionary.org/wiki/chamullar : speak unclearly/persuasively but vaguely; mumble acceptable	medium
chancear	joke	keep	https://es.wiktionary.org/wiki/chancear : usar de chanzas to joke	high
chancletear	shuffle	keep	https://es.wiktionary.org/wiki/chancletear : from chancleta walk in slippers shuffle	medium
chapucear	botch	keep	https://es.wiktionary.org/wiki/chapucear : colloquial botch bungle (cf chafallar)	high
chapurrear	speak badly	keep	https://es.wiktionary.org/wiki/chapurrear : speak a foreign language poorly	high
chapuzar	dunk	keep	https://es.wiktionary.org/wiki/chapuzar : push or plunge headfirst into water	high
chaquetear	turncoat	keep	https://es.wiktionary.org/wiki/chaquetear : change sides cambiar de chaqueta	medium
charlatanear	prattle	keep	https://es.wiktionary.org/wiki/charlatanear : speak of vain insubstantial matters	high
charlotear	chatter	keep	https://es.wiktionary.org/wiki/charlotear : converse casually without substance chitchat	high
charolar	varnish	keep	https://es.wiktionary.org/wiki/charolar : barnizar con charol varnish	high
chascar	crack	keep	https://es.wiktionary.org/wiki/chascar : produce sharp cracking sound	high
