optimar	optimize	keep	optimize	3	https://es.wiktionary.org/wiki/optimar : optimizar (to optimize)	high
orear	air	keep	air	3	https://es.wiktionary.org/wiki/orear : expose to air to dry/ventilate	high
orillar	skirt	keep	skirt	3	https://es.wiktionary.org/wiki/orillar : approach the edge	high
orlar	border	keep	border	3	https://es.wiktionary.org/wiki/orlar : adorn with edging/border	high
otear	scan	keep	scan	3	https://es.wiktionary.org/wiki/otear : survey from a height	high
ovalar	make oval	keep	make oval	3	https://es.wiktionary.org/wiki/ovalar : dar forma de ovalo	high
ovar	lay eggs	keep	lay eggs	3	https://es.wiktionary.org/wiki/ovar : poner huevos	high
ovillar	wind up	keep	wind up	3	https://es.wiktionary.org/wiki/ovillar : hacer ovillos (wind into a ball)	high
parabolizar	parabolize	replace	speak in parables	2	https://dicionario.priberam.org/parabolizar : expor por meio de parabolas (speak in parables)	medium	rae+morph agree speak in parables; wikt said symbolize
parcializar	bias	keep	bias	3	https://es.wiktionary.org/wiki/parcializar : apply favorably to one over another by bias	high
pedorrear	fart	keep	fart	3	https://es.wiktionary.org/wiki/pedorrear : expel intestinal gas	high
pegotear	scrounge	keep	scrounge	3	https://es.wiktionary.org/wiki/pegotear : enter homes at mealtime uninvited (freeload)	high
peligrar	endanger	replace	be in danger	3	https://dle.rae.es/peligrar : intr. estar en peligro (be in danger)	high	intransitive; not transitive endanger
pendonear	gallivant	keep	gallivant	3	https://es.wiktionary.org/wiki/pendonear : gad about (intransitive)	high
peraltar	bank	keep	bank	3	https://es.wiktionary.org/wiki/peraltar : give superelevation to a curve/road	high
pergeñar	contrive	keep	contrive	3	https://es.wiktionary.org/wiki/perge%C3%B1ar : devise/sketch out a plan with skill	high
