comulgar	commune	keep	commune	3	https://es.wiktionary.org/wiki/comulgar : give/receive holy communion	high	receive communion
concelebrar	concelebrate	keep	concelebrate	3	https://en.wiktionary.org/wiki/concelebrar : to concelebrate	high
conceptuar	conceptualize	keep	conceptualize	2	https://es.wiktionary.org/wiki/conceptuar : formar o producir un concepto	medium	wikt offered deem; 2/3 back conceptualize/regard
conchabar	scheme	keep	scheme	3	https://es.wiktionary.org/wiki/conchabar : conchabarse unirse/conspire	medium	plot/scheme pronominal
concitar	incite	keep	incite	3	https://en.wiktionary.org/wiki/concitar : instigate stir up incite	high	stir up
conculcar	violate	keep	violate	3	https://es.wiktionary.org/wiki/conculcar : irrespetar una norma ley o derecho	high
concurrir	converge	keep	converge	3	https://en.wiktionary.org/wiki/concurrir : to converge gather flock	high	gather/converge
condoler	sympathize	keep	sympathize	3	https://es.wiktionary.org/wiki/condoler : condolerse compadecer commiserate	high
conexionar	connect	keep	connect	3	https://es.wiktionary.org/wiki/conexionar : connect/become connected	high
confabular	conspire	keep	conspire	3	https://en.wiktionary.org/wiki/confabularse : to conspire plot scheme	high	plot
conferenciar	confer	keep	confer	3	https://es.wiktionary.org/wiki/conferenciar : to confer discuss	high
confitar	candy	keep	candy	3	https://en.wiktionary.org/wiki/confitar : to candy cook in sugar	high
conflagrar	set ablaze	keep	set ablaze	3	https://es.wiktionary.org/wiki/conflagrar : hacer arder algo set on fire	high
confraternizar	fraternize	keep	fraternize	3	https://en.wiktionary.org/wiki/confraternizar : to fraternise	high
congraciar	ingratiate	keep	ingratiate	3	https://es.wiktionary.org/wiki/congraciar : congraciarse ganar el favor de alguien	high
conjuntar	combine	keep	combine	3	https://en.wiktionary.org/wiki/conjuntar : to join bring together combine	high	coordinate/combine
