arramplar	sweep away	keep	sweep away	3	https://dle.rae.es/arramplar : llevar algo codiciosamente	high
arrebolar	redden	keep	redden	3	https://dle.rae.es/arrebolar : poner de color de arrebol (rojo)	high
arrumbar	discard	keep	discard	3	https://dle.rae.es/arrumbar : apartar o retirar algo por inutil	high
asaetear	shoot arrows	keep	shoot arrows	3	https://dle.rae.es/asaetear : disparar saetas contra alguien	high
asalariar	salary	replace	put on salary	3	https://dle.rae.es/asalariar : senalar salario a alguien	high	salary noun-as-verb replaced with clearer put on salary
aspar	reel	keep	reel	3	https://dle.rae.es/aspar : hacer madejas el hilo en el aspa	high
asperjar	sprinkle	keep	sprinkle	3	https://dle.rae.es/asperjar : rociar o hisopear	high
atarugar	wedge	keep	wedge	3	https://dle.rae.es/atarugar : asegurar con tarugos o cunas	high
atildar	primp	keep	primp	3	https://dle.rae.es/atildar : componer asear	high
atiplar	raise pitch	keep	raise pitch	3	https://es.wiktionary.org/wiki/atiplar : levantar el tono hasta tiple	high
atocinar	cure pork	keep	cure pork	3	https://www.rae.es/drae2001/atocinar : partir el cerdo hacer los tocinos y salarlos	high	make/cure bacon synonymous with cure pork
atontolinar	stupefy	keep	stupefy	3	https://dle.rae.es/atontolinar : atontar aturdir	high
atufar	annoy	keep	annoy	3	https://dle.rae.es/atufar : enfadar enojar	high	annoy/anger both attested
aturullar	confuse	keep	confuse	3	https://dle.rae.es/aturullar : turbar a alguien de modo que no sepa que decir	high
aureolar	haloe	replace	halo	3	https://dle.rae.es/aureolar : rodear como una aureola	high	fixes spelling haloe to halo
autosugestionar	autosuggest	keep	autosuggest	3	https://es.wiktionary.org/wiki/autosugestionar : sugestionarse a si mismo	high
