abajar	0
abalanzar	0
abalar	0
abalizar	0
aballar	0
abanar	0
abanderar	0
abandonar	0
abanicar	0
abaratar	0
abarcar	0
abarquillar	0
abarrotar	0
abastecer	0
abatir	0
abdicar	0
abetunar	0
abigarrar	0
abismar	0
abjurar	0
ablandar	0
abnegar	0
abobar	0
abocar	0
abocetar	0
abochornar	0
abocinar	0
abofetear	0
abogar	0
abollar	0
abombar	0
abominar	0
abonar	0
abordar	0
aborrecer	0
aborregar	1
abortar	0
abotargar	1
abotonar	0
abovedar	0
abrasar	0
abrevar	0
abreviar	0
abrigar	0
abrochar	0
abrogar	0
abrumar	0
absolver	0
abstener	1
abstraer	0
abuchear	0
abultar	0
abundar	0
aburguesar	0
aburrir	0
abusar	0
acabar	0
acaecer	0
acallar	0
acalorar	0
acampar	0
acanalar	0
acantonar	0
acaparar	0
acaramelar	0
acariciar	0
acarrear	0
acartonar	1
acatar	0
acatarrar	0
acaudalar	0
acaudillar	0
acceder	0
accidentar	1
accionar	0
acechar	0
aceitar	0
acelerar	0
acendrar	0
acentuar	0
aceptar	0
acerar	0
acercar	0
acertar	0
achabacanar	0
achacar	0
achantar	0
achaparrar	1
acharolar	0
achatar	0
achicar	0
achicharrar	0
achinar	0
achispar	0
achuchar	0
acicalar	0
acidificar	0
acidular	0
aclamar	0
aclarar	0
aclimatar	0
acobardar	0
acodar	0
acoger	0
acogotar	0
acolchar	0
acometer	0
acomodar	0
acompañar	0
acompasar	0
acomplejar	0
acondicionar	0
aconsejar	0
acontecer	0
acoplar	0
acoquinar	0
acorazar	0
acorchar	0
acordonar	0
acorralar	0
acortar	0
acosar	0
acostar	0
acostumbrar	0
acotar	0
acrecentar	0
acreditar	0
acribillar	0
acrisolar	0
acristalar	0
activar	0
actualizar	0
acuartelar	0
acuchillar	0
acuciar	0
acuclillar	1
acumular	0
acunar	0
acuñar	0
acurrucar	1
acusar	0
adaptar	0
adecentar	0
adecuar	0
adelantar	0
adelgazar	0
adentrar	1
aderezar	0
adeudar	0
adherir	0
adicionar	0
adiestrar	0
adinerar	0
adivinar	0
adjetivar	0
adjudicar	0
adjuntar	0
administrar	0
admirar	0
adobar	0
adocenar	0
adoctrinar	0
adolecer	0
adoptar	0
adoquinar	0
adorar	0
adormecer	0
adormilar	1
adornar	0
adosar	0
adscribir	0
adueñar	1
adular	0
adulterar	0
adverbializar	0
advertir	0
aerotransportar	0
afanar	0
afear	0
afectar	0
afeitar	0
afelpar	0
afeminar	0
aferrar	0
afianzar	0
aficionar	0
afilar	0
afiliar	0
afinar	0
afincar	0
afirmar	0
aflautar	0
afligir	0
aflojar	0
afluir	0
afofar	1
afrancesar	0
afrentar	0
africanizar	0
afrontar	0
agachar	0
agarrar	0
agarrotar	0
agasajar	0
agavillar	0
agazapar	1
agenciar	0
agigantar	0
agilizar	0
agitanar	0
agitar	0
aglomerar	0
aglutinar	0
agobiar	0
agolpar	0
agonizar	0
agostar	0
agotar	0
agraciar	0
agradar	0
agradecer	0
agrandar	0
agravar	0
agraviar	0
agredir	0
agregar	0
agremiar	0
agriar	0
agrietar	0
agrisar	0
agrupar	0
aguantar	0
aguar	0
aguardar	0
agudizar	0
aguijonear	0
agujerear	0
agusanar	1
aguzar	0
aherrojar	0
ahogar	0
ahondar	0
ahorcar	0
ahornar	0
ahorrar	0
ahuecar	0
ahuevar	0
ahumar	0
ahuyentar	0
aindiar	1
airear	0
ajamonar	1
ajar	0
ajardinar	0
ajetrear	0
ajuntar	0
ajustar	0
ajusticiar	0
alabar	0
alabear	0
alambicar	0
alambrar	0
alardear	0
alargar	0
alarmar	0
albardar	0
albergar	0
alborear	0
alborotar	0
alborozar	0
alcahuetear	0
alcalinizar	0
alcantarillar	0
alcanzar	0
alcoholizar	0
aleccionar	0
alegar	0
alegrar	0
alejar	0
alentar	0
alertar	0
aletargar	0
aletear	0
alfabetizar	0
alfombrar	0
algodonar	0
alhajar	0
aliar	0
alicatar	0
alicortar	0
alienar	0
aligerar	0
alimentar	0
alinear	0
aliñar	0
alisar	0
alistar	0
aliviar	0
allanar	0
allegar	0
