infinitive	current	proposed	status	flagged	needs_grounding	sense_note
tundir	shear		agree	1		
tupir	pack		agree	1	pack tight	
uncir	yoke		agree	1		
usufructuar	usufruct		agree	1		
vacar	be vacant		agree	1		
vaguear	loaf		agree	1		
vampirizar	vampirize		agree	1		
ventajear	outdo		agree	1	gain advantage	
ventear	air		agree	1		
ventiscar	blizzard		agree	1	snow heavily	
ventosear	pass wind		agree	1	break wind	
verdear	green		agree	1	turn green	
vetear	streak		agree	1		
vidriar	glaze		agree	1		
virilizar	virilize		uncertain	1	1	rare denominal
xerografiar	xerograph		agree	1		
