infinitive	current	proposed	status	flagged	needs_grounding	sense_note
aherrojar	shackle		agree	1		
ahornar	bake		agree	1		put in the oven
ahuevar	egg-shape		agree	1		make egg-shaped
aindiar	go native		agree	1		
alambicar	distill		agree	1		
albardar	bard		uncertain	1	1	current bard vs blind saddle
alcahuetear	pander		agree	1		
alcantarillar	sewer		agree	1		lay sewers
alcoholizar	alcoholize		agree	1		
algodonar	pad		agree	1		stuff with cotton
alhajar	bejewel		agree	1		furnish
alicatar	tile		agree	1		
alicortar	clip wings		agree	1		clip the wings
allegar	gather		agree	1		
almendrar	almond-flavor	shape like almonds	uncertain	1	1	denominal rare: almond-flavor vs shape like almonds
almohazar	curry		agree	1		
