infinitive	current	proposed	status	flagged	needs_grounding	sense_note
manducar	eat		agree	1		
mantear	toss		agree	1		
maridar	marry		agree	1		
maternizar	humanize milk		uncertain	1	1	rare technical sense re: infant formula
matrimoniar	marry		agree	1		
mechar	lard		agree	1		
mensualizar	monthly bill		replace	1	1	awkward current gloss
menudear	occur often		agree	1		
mesar	tear hair		agree	1		
metaforizar	metaphorize		agree	1		
meteorizar	bloat		agree	1		
migar	crumble		agree	1		
militar	militate		replace			primary sense is military service
ministrar	administer		agree	1		
mocar	blow nose		agree	1		
moldar	mold		agree	1		
