infinitive	current	proposed	status	flagged	needs_grounding	sense_note
desapasionar	dispassion		replace	1	1	
desarrendar	unrent		replace	1	1	
desarrimar	move away		agree	1		
desbarrancar	push off cliff		agree	1		
descabalar	leave incomplete		agree	1		
descabellar	kill bull		agree	1	bullfighting term	
descacharrar	smash		agree	1		
descambiar	exchange back		agree	1		
descaperuzar	uncover		agree	1	remove hood	
descasar	annul marriage		agree	1		
descerebrar	decerebrate		agree	1		
descompasar	throw off		agree	1		
descuajar	uproot		agree	1		
descuajeringar	break apart		agree	1		
desembarrar	clean mud		agree	1		
desembrujar	disenchant		agree	1		
