infinitive	current	proposed	status	flagged	needs_grounding	sense_note
cloquear	cluck		agree	1		
cloroformizar	chloroform		agree	1		
coadyuvar	assist		agree	1		
cocear	kick		agree	1		
coheredar	co-inherit		agree	1		
colacionar	collate		agree	1		
colear	wag		agree	1		
colegiar	register		uncertain	1	1	join professional body
colindar	border		agree	1		
columbrar	glimpse		agree	1		
comadrear	gossip		agree	1		
comedir	restrain		agree	1		
compendiar	summarize		agree	1		
compenetrar	bond		agree	1		
competer	concern		agree	1		be incumbent on
compulsar	collate		uncertain	1	1	certify vs collate
