infinitive	current	proposed	status	flagged	needs_grounding	sense_note
desflecar	fray		agree	1		
desfondar	break bottom	knock the bottom out	replace			
desforrar	unwrap	remove the lining	replace	1		strip the lining
desguarnecer	strip		agree	1		
desimantar	demagnetize		agree	1		
desinsectar	fumigate		agree	1		
deslavazar	wash out		agree	1		
deslomar	break back		agree	1		
desmadejar	weaken		agree	1		
desmadrar	wean		agree	1		
desmandar	disobey	get out of control	replace			
desnortar	disorient		agree	1		
desojar	strain eyes		agree	1		
desorejar	cut ears		agree	1		
despanzurrar	gut		agree	1		
despechugar	bare chest		agree	1		
