infinitive	current	proposed	status	flagged	needs_grounding	sense_note
repescar	refish	let resit	uncertain	1	1	senses: fish out again / let resit exam
resinar	tap resin		uncertain	1	1	denominal resin-tapping
reverdecer	regreen	turn green again	replace			
sesear	lisp	pronounce s for c	replace			seseo not lisp
sobetear	paw		uncertain	1	1	colloquial
soflamar	scorch		agree	1		
subvenir	defray		agree	1		
sulfatar	sulfate		agree	1		
sumariar	summarize		agree	1		
superabundar	overabound		agree	1		
sustantivar	nominalize		agree	1		
tabicar	wall up		agree	1		
tablear	plank		uncertain	1	1	current: plank / blind: pleat
taconear	tap heels		agree	1		
tanguear	tango		agree	1		
tapear	snack		agree	1	eat tapas	
