infinitive	current	proposed	status	flagged	needs_grounding	sense_note
acerar	steel		agree	1		
achabacanar	vulgarize		agree	1		
achantar	intimidate		agree	1		
achaparrar	stunt		agree	1		grow stunted
acharolar	varnish		agree	1		
achinar	slant		uncertain	1	1	current slant vs blind intimidate
achispar	tipsy		replace	1	1	current not verb form
achuchar	squeeze		agree	1		shove/squeeze
acidular	acidulate		agree	1		make slightly acid
acodar	bend		agree	1		
acogotar	throttle		agree	1		collar
acompasar	pace		agree	1		keep in time
acoquinar	intimidate		agree	1		
acorchar	cork		uncertain	1	1	current cork vs blind make corky
acrisolar	refine		agree	1		
acuartelar	quarter		agree	1		
