infinitive	current	proposed	status	flagged	needs_grounding	sense_note
periclitar	decline		agree	1		
perlar	bead		agree	1		
pespuntear	backstitch		agree	1		
petar	please		agree	1		
petardear	backfire		agree	1		
piafar	paw		agree	1		
pimplar	booze		agree	1		
pirrar	love		agree	1		
plantificar	plant	plonk down	replace	1		
policromar	polychrome		agree	1		
positivar	develop		agree	1		
postinear	show off		agree	1		
predatar	predate		agree	1		
presintonizar	preset		agree	1		
prevaricar	prevaricate	abuse one's office	replace		1	legal: betray official duty; not lie
prosificar	prosify	turn into prose	replace	1		
