infinitive	current	proposed	status	flagged	needs_grounding	sense_note
arramplar	sweep away		agree	1		
arrebolar	redden		agree	1		
arrumbar	discard		agree	1		
asaetear	shoot arrows		agree	1		
asalariar	salary	put on salary	uncertain	1	1	salary as verb vs put on salary
aspar	reel		agree	1		
asperjar	sprinkle		agree	1		
atarugar	wedge		agree	1		
atildar	primp		agree	1		
atiplar	raise pitch		agree	1		
atocinar	cure pork	cut into bacon	uncertain	1	1	rare: cure pork vs cut into bacon
atontolinar	stupefy		agree	1		
atufar	annoy		agree	1	current annoy vs blind anger both valid	
aturullar	confuse		agree	1		
aureolar	haloe		uncertain	1	1	rare denominal
autosugestionar	autosuggest		agree	1		
