infinitive	current	proposed	status	flagged	needs_grounding	sense_note
chicolear	flirt		agree	1		
chinchorrear	gossip		agree	1		
chirigotear	jest		agree	1		
chistar	speak		agree	1	current speak vs blind speak up	
choricear	pilfer		agree	1		
chotear	mock		agree	1		
chulear	swagger		agree	1		
churruscar	scorch		agree	1		
cicatear	skimp		agree	1		
cimbrear	sway		agree	1		
cinematografiar	film		agree	1		
ciscar	soil		uncertain	1	1	rare colloquial verb
cizañar	sow discord		agree	1		
clarear	brighten		uncertain		1	dawn vs brighten/grow light
clavetear	stud		agree	1		
clocar	cluck		agree	1		
