infinitive	current	proposed	status	flagged	needs_grounding	sense_note
reconcomer	fret	fret	agree	1		
recuadrar	frame	frame	agree	1		
redundar	result	result in	agree	1		
reenganchar	rehook	reenlist	replace	1		reenganchar(se) = reenlist
reensayar	rehearse	rehearse again	agree	1		
reflorecer	reflower	bloom again	agree	1		
refocilar	delight	revel	agree	1		
regodear	delight	delight	agree	1		take delight
rehumedecer	remoisten	remoisten	agree	1		
rehundir	sink	sink	agree	1		
rejonear	spear bull	spear a bull	agree	1		
religar	rebind	rebind	agree	1		
remansar	pool	form a pool	agree	1		
remorder	cause remorse	gnaw at	agree	1		
repatear	annoy	annoy	agree	1		
repeinar	recomb	comb again	agree	1		
