infinitive	current	proposed	status	flagged	needs_grounding	sense_note
cuadricular	grid		agree	1		
cuartear	crack		agree	1		
culturizar	educate		agree	1		
cumplimentar	complete		agree	1		fill out
currar	work		agree	1		
cursar	study		agree	1		take a course
damnificar	harm		agree	1		
decorticar	husk		uncertain	1	1	husk vs decorticate technical
demacrar	waste away		agree	1		
demarrar	pull away		agree	1		
depilar	depilate		replace			
derechizar	make rightwing		agree	1		
desabollar	undent		agree	1		
desaclimatar	deacclimatize		agree	1		
desacuartelar	withdraw		agree	1		
desamortizar	disentail		agree	1		
