infinitive	current	proposed	status	flagged	needs_grounding	sense_note
estatuir	decree		agree	1		
estenografiar	stenograph		replace	1		take shorthand
estirajar	stretch		agree	1		
estocar	thrust		agree	1		
estomagar	annoy		agree	1		
estoquear	thrust		agree	1		
estraperlear	black-market		agree	1		
estuchar	case		agree	1		
exclaustrar	secularize		agree	1		
expedientar	investigate		agree	1		
explicotear	explain at length		agree	1		
expugnar	storm		agree	1		
extractar	abstract		agree	1		
extranjerizar	foreignize		uncertain	1	1	rare denominal
extremar	maximize		agree	1		
faenar	fish		agree	1		
