infinitive	current	proposed	status	flagged	needs_grounding	sense_note
quebrantar	break	break apart	replace			two senses: break / violate (law)
racanear	skimp	skimp	agree	1		
radiotelegrafiar	radiotelegraph	radiotelegraph	agree	1		
ramonear	browse	browse	agree	1		browse (graze)
rarificar	rarefy	rarefy	agree	1		
rastrojar	clear stubble	clear stubble	agree	1		
rebañar	scrape clean	scrape clean	agree	1		
rebordear	edge	edge	agree	1		
recalar	make landfall	make landfall	agree	1		
recalificar	requalify	rezone	uncertain			senses: requalify / rezone land
recamar	embroider	embroider	agree	1		
recatar	conceal	conceal	agree	1		
recauchutar	retread	retread	agree	1		
recidivar	relapse	recur	agree	1		
recochinear	gloat	gloat	agree	1		
recomer	fret	fret	agree	1		
