infinitive	current	proposed	status	flagged	needs_grounding	sense_note
alocar	madden		agree	1		
amanerar	mannerism	make mannered	replace	1		current gloss is a noun not a verb
amartelar	woo	enamor	uncertain	1	1	rare: woo vs enamor
amojamar	cure	dry like tuna	uncertain	1	1	rare: cure fish
amorriñar	mope		agree	1		
anarquizar	anarchize	spread anarchy	replace	1		anarchize is not standard English
anatomizar	anatomize	dissect	uncertain	1	1	rare: anatomize vs dissect
animalizar	animalize		agree	1		
anisar	flavor with anise		agree	1		
apellidar	surname	name	uncertain	1	1	surname as verb vs name
apergaminar	wither	become parchment-like	uncertain		1	rare: wither vs parchment-like
aplatanar	enervate	make listless	uncertain	1	1	regional: enervate vs make listless
apocopar	apocopate		agree	1		
apostrofar	apostrophize		agree	1		
arbolar	hoist		agree	1		
arracimar	cluster		agree	1		
