infinitive	current	proposed	status	flagged	needs_grounding	sense_note
tornasolar	iridesce		agree	1		
torrar	roast		agree	1		
trajear	dress		agree	1		
trapacear	cheat		agree	1	swindle	
trapichear	deal		agree	1		
trashumar	migrate		agree	1		
trastabillar	stumble		agree	1		
tremolar	wave		agree	1		
trepanar	trepan		agree	1		
triptongar	triphthong		agree	1	form triphthong	
trizar	shatter		agree	1		
trompetear	trumpet		agree	1		
troquelar	stamp		agree	1		
trovar	versify		agree	1		
trufar	stuff		agree	1	stuff with truffles	
tullir	cripple		agree	1		
