infinitive	current	proposed	status	flagged	needs_grounding	sense_note
desempalmar	disconnect		agree	1		
desempapelar	unpaper		agree	1	strip wallpaper	
desempedrar	unpave		agree	1		
desempotrar	unbuild		agree	1		
desencajonar	unbox		agree	1		
desencapotar	uncover		agree	1	clear up sky sense	
desencasquillar	unjam		agree	1		
desenclavar	dislodge		agree	1		
desencorvar	straighten		agree	1		
desenfadar	calm		agree	1		
desenfurruñar	cheer up		agree	1		
desenladrillar	remove bricks		agree	1		
desentablillar	unsplint		agree	1		
desentoldar	remove awning		agree	1		
desertizar	desertify		agree	1		
desfasar	mismatch	throw out of phase	replace			out of phase/sync
