infinitive	current	proposed	status	flagged	needs_grounding	sense_note
avezar	accustom		agree	1		
aviejar	age		agree	1		
avispar	liven		agree	1	current liven vs blind rouse both fine	
azarar	fluster		agree	1		
azufrar	sulfur		agree	1		
babosear	slobber		agree	1		
bailotear	dance		agree	1	current dance vs blind dance about both fine	
bandear	cross		agree	1		
banderillear	stab		replace	1	1	1
baquetear	wear out		agree	1	current wear out vs blind harass both senses exist	
barrar	bar		agree	1		
biografiar	biograph		replace	1	1	
bisar	encore		agree	1		
bobear	fool around		agree	1		
bracear	flail		agree	1		
brear	thrash		agree	1		
