infinitive	current	proposed	status	flagged	needs_grounding	sense_note
adinerar	enrich		agree	1		make wealthy
adjetivar	adjectivize		agree	1		use as adjective
adocenar	make common		agree	1		make commonplace
adverbializar	adverbialize		agree	1		use as adverb
afelpar	plush		replace	1	1	current not verb form
afeminar	effeminate		agree	1		make effeminate
afincar	settle		agree	1		
aflautar	pipe		replace	1	1	current unclear
afofar	soften		agree	1		make spongy
afrancesar	frenchify		agree	1		
agavillar	bundle		agree	1		bundle into sheaves
agitanar	gypsify		agree	1		make gypsy-like
agostar	parch		agree	1		
agremiar	unionize		agree	1		
agrisar	gray		agree	1		make gray
agusanar	get wormy		agree	1		
