infinitive	current	proposed	status	flagged	needs_grounding	sense_note
cascabelear	jingle		agree	1		
catalanizar	catalanize		agree	1		
censar	census		agree	1		
centuplicar	multiply		agree	1		
chalar	madden		agree	1		
chamullar	mumble		agree	1	current mumble vs blind jabber both fine	
chancear	joke		agree	1		
chancletear	shuffle		agree	1	current shuffle vs blind shuffle in slippers	
chapucear	botch		agree	1		
chapurrear	speak badly		agree	1	current speak badly vs blind speak brokenly	
chapuzar	dunk		agree	1		
chaquetear	turncoat		agree	1		
charlatanear	prattle		agree	1		
charlotear	chatter		agree	1		
charolar	varnish		agree	1		
chascar	crack		agree	1	current crack vs blind click both fine	
