infinitive	current	proposed	status	flagged	needs_grounding	sense_note
despelotar	strip		agree	1		strip naked
despendolar	go wild		agree	1		
despistar	mislead	throw off the track	replace			throw off the track
desplanchar	wrinkle		agree	1		
despreocupar	relax	stop worrying	replace			reflexive stop worrying
desriñonar	overwork		agree	1		break one's back
desubicar	misplace	disorient	replace			disorient/confuse person
desusar	disuse		agree	1		
desvencijar	break apart		agree	1		
desvergonzar	be brazen		agree	1		be shameless
desvitalizar	devitalize		agree	1		
embazar	dye		uncertain	1	1	flagged rare; sense unclear
embotijar	bottle	store in jars	replace		1	relates to botijo jug not bottle
empavonar	burnish		uncertain	1	1	flagged rare; burnish vs blue steel
empitonar	gore		agree	1		flagged
emplastecer	plaster		agree	1		flagged
