infinitive	current	proposed	status	flagged	needs_grounding	sense_note
fajar	wrap		agree	1		
faldear	skirt		agree	1		
fanatizar	fanaticize		agree	1		
feriar	trade		agree	1	trade / barter both valid	
festonear	festoon		agree	1		
filiar	enroll		agree	1		
florear	adorn		agree	1	adorn / embellish both valid	
fluidificar	fluidify		agree	1		
fluorar	fluoridate		agree	1		
foguear	fire		uncertain	1	1	fire vs season (inure); blind says season
foliar	foliate		agree	1		
fraguar	forge		replace			set/harden (cement) is primary; forge is secondary
fregotear	scrub		agree	1	scrub / scour both valid	
gallardear	flaunt		agree	1	flaunt / swagger both valid	
gallear	strut		agree	1		
gansear	clown		agree	1	clown / clown around both valid	
