infinitive	current	proposed	status	flagged	needs_grounding	sense_note
optimar	optimize		agree	1		
orear	air		agree	1		
orillar	skirt		agree	1		
orlar	border		agree	1		
otear	scan		agree	1		
ovalar	make oval		agree	1		
ovar	lay eggs		agree	1		
ovillar	wind up		agree	1		
parabolizar	parabolize	make parabolic	replace	1	1	rare; figurative speak-in-parables sense exists
parcializar	bias	make partial	replace	1		
pedorrear	fart		agree	1		
pegotear	scrounge		agree	1		
peligrar	endanger	be in danger	replace			intransitive: be in danger
pendonear	gallivant		agree	1		
peraltar	bank		agree	1		
pergeñar	contrive		agree	1		
