infinitive	current	proposed	status	flagged	needs_grounding	sense_note
abajar	lower		agree	1		
abalar	move		uncertain	1	1	current move vs blind shake
abalizar	mark		agree	1		mark with buoys nautical sense
aballar	drive		agree	1		
abanar	fan		agree	1		
abanderar	champion		replace			current figurative not primary
abetunar	polish		agree	1		
abigarrar	variegate		agree	1		make gaudy synonym
abocar	pour		agree	1		
abocinar	flare		agree	1		
abordar	tackle		replace			board is primary sense
aborregar	curdle		replace	1	1	current wrong meaning
abotargar	bloat		agree	1		
abovedar	vault		agree	1		
abrevar	water		agree	1		water animals
acendrar	purify		agree	1		
