infinitive	current	proposed	status	flagged	needs_grounding	sense_note
monoptongar	monophthongize		agree	1		
monumentalizar	monumentalize		agree	1		
morigerar	temper		agree	1		
mosconear	pester		agree	1		
motear	speckle		agree	1		
motejar	nickname		agree	1		
murar	wall		agree	1		
mustiar	wither		agree	1		
negrear	turn black		agree	1		
neurotizar	neuroticize		replace	1	1	
niñear	act childish		agree	1		
nuclearizar	nuclearize		agree	1		
obcecar	blind		agree	1		
obstar	hinder		agree	1		
ociar	idle		agree	1		
opositar	compete		replace	1	1	specific sense: sit competitive public exam
