infinitive	current	proposed	status	flagged	needs_grounding	sense_note
heñir	knead		agree	1		
himplar	snarl		agree	1		
hocicar	root		agree	1		
hojaldrar	puff		agree	1		
hondear	sound		agree	1		
hostiar	wallop		agree	1	wallop / whack both valid	
hozar	root		agree	1		
humar	smoke		agree	1		
huronear	pry		agree	1	pry / ferret both valid	
interviuvar	interview		agree	1		
loquear	act crazy		agree	1		
lucubrar	ponder		agree	1		
malcasar	mismarry		agree	1		
malmeter	incite		agree	1		
maltraer	mistreat		agree	1		
mancipar	enslave		agree	1		
