infinitive	current	proposed	status	flagged	needs_grounding	sense_note
entoldar	awning		replace			cover with awning
entrelucir	glimmer		agree	1		
entubar	tube		replace			intubate
erisipelar	infect		replace	1	1	cause erysipelas
escachifollar	smash		agree	1		
escaquear	dodge		agree	1		
esclerosar	harden		agree	1		
esclerotizar	harden		agree	1		
escorar	list		agree	1		
escotar	lower neckline		agree	1		
escriturar	deed		replace	1		notarize
españolear	flaunt Spanishness		agree	1		
espichar	die		agree	1		
espurrear	spray		agree	1		
esquejar	take cuttings		agree	1		
estabular	stable		agree	1		
