infinitive	current	proposed	status	flagged	needs_grounding	sense_note
taquigrafiar	stenograph		agree	1	write shorthand	
taracear	inlay		agree	1		
tarar	tare		agree	1		
tarifar	price		agree	1	set rates	
tarjetear	card		uncertain	1	1	rare denominal
tartajear	stammer		agree	1		
tatarear	hum		agree	1		
tecnificar	modernize		agree	1	mechanize	
temblequear	shiver		agree	1		
teologizar	theologize		agree	1		
terraplenar	embank		agree	1		
tersar	smooth		agree	1		
testar	bequeath		replace			"testar = make a will, not bequeath"
titularizar	tenure		agree	1		
toldar	awning		uncertain	1	1	rare denominal
tonsurar	tonsure		agree	1		
