infinitive	current	proposed	status	flagged	needs_grounding	sense_note
garrapatear	scribble		agree	1	scribble / scrawl both valid	
garrapiñar	candy		agree	1		
gibar	annoy		uncertain	1	1	annoy vs hunch; blind says hunch
gitanear	wheedle		agree	1		
golfear	loaf		agree	1	loaf / loiter both valid	
golosear	nibble		agree	1	nibble / nibble sweets both valid	
gorgoritear	trill		agree	1		
granar	seed		agree	1		
grillar	sprout		agree	1		
grisear	gray		agree	1		
guarnicionar	garrison		agree	1		
guarrear	mess up		uncertain	1	1	mess up vs grunt; regional slang
guerrillear	wage guerrilla war		agree	1		
guipar	see		agree	1	see / spot both valid	
gulusmear	snoop		agree	1	snoop / snoop for food both valid	
hebraizar	hebraize		agree	1		
