infinitive	current	proposed	status	flagged	needs_grounding	sense_note
encanar	jail		agree	1		flagged
encanutar	roll		agree	1		flagged
engarabitar	climb		uncertain	1	1	flagged; climb vs curl up
enguachinar	soak		agree	1		flagged
enmudecer	silence		replace			fall silent; usually intransitive
ennoviar	get engaged		uncertain	1	1	reflexive; get a boyfriend/girlfriend
enquistar	encyst		agree	1		
enrocar	castle		agree	1		
enronquecer	make hoarse		agree	1		
ensañar	rage		replace			be cruel with
enseñorear	take over		agree	1		
ensoberbecer	make arrogant		agree	1		
entallar	fit		uncertain			two senses: fit (garment) / carve
entarimar	floor		agree	1		
entelar	cover		agree	1		
entenebrecer	darken		agree	1		
