infinitive	current	proposed	status	flagged	needs_grounding	sense_note
comulgar	commune		agree	1		receive communion
concelebrar	concelebrate		agree	1		
conceptuar	conceptualize		agree	1		regard/deem
conchabar	scheme		agree	1		conspire/scheme
concitar	incite		agree	1		stir up
conculcar	violate		agree	1		
concurrir	converge		agree	1		gather/converge
condoler	sympathize		agree	1		
conexionar	connect		agree	1		
confabular	conspire		agree	1		plot
conferenciar	confer		agree	1		
confitar	candy		agree	1		
conflagrar	set ablaze		agree	1		
confraternizar	fraternize		agree	1		
congraciar	ingratiate		agree	1		
conjuntar	combine		agree	1		coordinate/combine
