infinitive	current	proposed	status	flagged	needs_grounding	sense_note
conmensurar	commensurate		uncertain	1	1	measure together rare
conminar	threaten		agree	1		
connotar	connote		agree	1		
consensuar	agree		agree	1		reach consensus
consonantizar	consonantize		agree	1		turn into consonant
contabilizar	account		agree	1		account for
contemporizar	temporize		agree	1		
contonear	sway		agree	1		
contrahacer	counterfeit		agree	1		
contrapear	plywood		replace	1	1	1
contristar	sadden		agree	1		
conturbar	perturb		agree	1		
copar	corner		agree	1		
copear	drink		agree	1		have drinks
coscar	annoy		uncertain	1	1	rare regional verb
cristianar	baptize		agree	1		
